日期,订单编号,门店所在城市,门店名称,门店id,订单序号,下单时间,完成时间,配送时长,订单状态,是否预订单,是否到店自取,商品信息,活动信息,配送类型,是否部分退款,是否全额退款,顾客实付,商品原价,配送费,包装费,活动补贴(平台+商家),商家活动支出,是否商责取消,商责取消原因,是否配送延迟,是否有效配送信息回传,配送信息回传无效原因
20221212,ID:900324663246713695,东莞,沙拉食刻（松山湖1分店）,14764991,14,2022-12-12 11:06:23,2022-12-12 11:41:34,21,已完成,否,否,"奥尔良鸡胸肉荞麦面+果蔬沙拉(凯撒沙拉汁,油醋汁),单价16.8*数量1",购买奥尔良鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元],美团快送,否,否,16.8,17.7,0.0,0.0,0.9,0.0,否,,否,,
20221212,ID:900324660660838809,东莞,沙拉食刻（松山湖1分店）,14764991,16,2022-12-12 11:07:01,2022-12-12 12:26:00,54,已完成,否,否,"咖喱鸡扒饭(1人份),单价18.8*数量1",购买咖喱鸡扒饭原价24.0元现价18.8元[商家承担:5.2元]/门店新客立减3.0元[商家承担:3.0元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,18.2,24.0,5.0,0.0,10.8,10.8,否,,是,,
20221212,ID:900324660529358977,东莞,沙拉食刻（松山湖1分店）,14764991,18,2022-12-12 11:08:33,2022-12-12 11:37:08,15,已完成,否,否,"牛肉拼鸡胸谷物饭沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价26.8*数量1/金枪鱼藜麦谷物饭沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价25.8*数量1",减配送费2.6元[商家承担:2.6元]/购买金枪鱼藜麦谷物饭沙拉套餐原价39.0元现价25.8元[商家承担:13.2元]/购买牛肉拼鸡胸谷物饭沙拉套餐原价39.0元现价26.8元[商家承担:12.2元],美团快送,否,否,52.6,78.0,2.6,0.0,28.0,28.0,否,,否,,
20221212,ID:900324670375634793,东莞,沙拉食刻（松山湖1分店）,14764991,19,2022-12-12 11:10:42,2022-12-12 11:29:41,10,已完成,否,否,"奥尔良鸡胸肉荞麦面+果蔬沙拉(凯撒沙拉汁,油醋汁),单价16.8*数量1",购买奥尔良鸡胸肉荞麦面+果蔬沙拉原价17.7元现价16.8元[新美大承担:0.9元]/用户使用了支付红包减1元[新美大承担:1.0元],美团快送,否,否,15.8,17.7,0.0,0.0,1.9,0.0,否,,否,,
20221212,ID:900324671748190170,东莞,沙拉食刻（松山湖1分店）,14764991,20,2022-12-12 11:13:29,2022-12-12 11:48:57,25,已完成,否,否,"香菇藤椒鸡胸肉南瓜面沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价21.8*数量1",购买香菇藤椒鸡胸肉南瓜面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元]/用户使用了会员红包减5元[新美大承担:5.0元],美团快送,否,否,17.7,34.0,3.5,0.0,19.8,14.8,否,,否,,
20221212,ID:900324674164675252,东莞,沙拉食刻（松山湖1分店）,14764991,21,2022-12-12 11:15:13,2022-12-12 11:46:37,13,已完成,否,否,"香菇藤椒鸡胸肉南瓜面沙拉套餐(545克,蒜香海鲜汁,油醋汁),单价21.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/减配送费2.6元[商家承担:2.6元]/购买香菇藤椒鸡胸肉南瓜面沙拉套餐原价34.0元现价21.8元[商家承担:12.2元],美团快送,否,否,16.8,34.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324672295967555,东莞,沙拉食刻（松山湖1分店）,14764991,23,2022-12-12 11:15:53,2022-12-12 11:40:08,7,已完成,否,否,"黑椒鸡腿扒荞麦面果蔬沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价22.8*数量1",用户使用了会员红包减5元[新美大承担:5.0元]/购买黑椒鸡腿扒荞麦面果蔬沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,17.8,35.0,2.6,0.0,19.8,14.8,否,,否,,
20221212,ID:900324673164875212,东莞,沙拉食刻（松山湖1分店）,14764991,26,2022-12-12 11:18:06,2022-12-12 11:50:11,6,已完成,否,否,"蜜汁鸡腿扒荞麦面沙拉套餐(焙煎芝麻汁,蒜香海鲜汁),单价17.9*数量1",购买蜜汁鸡腿扒荞麦面沙拉套餐原价18.8元现价17.9元[新美大承担:0.9元]/用户使用了支付红包减1.6元[新美大承担:1.6元],美团快送,否,否,16.3,18.8,0.0,0.0,2.5,0.0,否,,否,,
20221212,ID:900324673541584041,东莞,沙拉食刻（松山湖1分店）,14764991,28,2022-12-12 11:19:44,2022-12-12 12:13:21,21,已完成,否,否,"黑椒鸡腿扒荞麦面+果蔬沙拉(焙煎芝麻汁,黑胡椒汁),单价17.8*数量1",购买黑椒鸡腿扒荞麦面+果蔬沙拉原价18.7元现价17.8元[新美大承担:0.9元],美团快送,否,否,17.8,18.7,0.0,0.0,0.9,0.0,否,,否,,
20221212,ID:900324682628841368,东莞,沙拉食刻（松山湖1分店）,14764991,29,2022-12-12 11:22:11,2022-12-12 11:41:31,8,已完成,否,否,"黑椒鸡腿扒谷物饭沙拉套餐(545克,蒜香海鲜汁,焙煎芝麻汁),单价22.8*数量1/咖喱鸡扒饭(1人份),单价18.8*数量1",购买黑椒鸡腿扒谷物饭沙拉套餐原价35.0元现价22.8元[商家承担:12.2元]/购买咖喱鸡扒饭原价24.0元现价18.8元[商家承担:5.2元]/减配送费2.6元[商家承担:2.6元],美团快送,否,否,42.4,59.0,3.4,0.0,20.0,20.0,否,,否,,
